id;postal_code;postal_area;radon_amount
KC556;3675;NOTODDEN;60
KC584;3681;NOTODDEN;120
KC581;3675;NOTODDEN;90
KC579;3677;NOTODDEN;90
KC587;3681;NOTODDEN;10
KC364;3678;NOTODDEN;90
KC374;3677;NOTODDEN;40
KC376;3683;NOTODDEN;60
KC377;3675;NOTODDEN;30
KC558;3675;NOTODDEN;60
KC559;3580;GEILO;
KC571;3677;NOTODDEN;30
KC572;3684;NOTODDEN;140
KC575;3677;NOTODDEN;70
KC614;3683;NOTODDEN;50
KC589;3674;NOTODDEN;380
KC562;3675;NOTODDEN;330
KC613;3683;NOTODDEN;
KC615;3684;NOTODDEN;60
KC471;3674;NOTODDEN;470
KC462;3681;NOTODDEN;30
KC569;3683;NOTODDEN;30
KC591;3677;NOTODDEN;40
KC463;3677;NOTODDEN;80
KC379;3675;NOTODDEN;40
KC375;3675;NOTODDEN;40
KC605;3677;NOTODDEN;
KC580;3679;NOTODDEN;40
KC565;3812;AKKERHAUGEN;
KC566;3681;NOTODDEN;120
KC568;3675;NOTODDEN;20
KC567;3677;NOTODDEN;20
KC368;3677;NOTODDEN;40
KC371;3674;NOTODDEN;70
KC354;3675;NOTODDEN;400
KC609;3679;NOTODDEN;30
KC457;3674;NOTODDEN;780
KC449;3679;NOTODDEN;70
KC474;3676;NOTODDEN;80
KC370;3677;NOTODDEN;40
KC388;3679;NOTODDEN;20
KC426;3677;NOTODDEN;160
KC549;3678;NOTODDEN;110
KC551;3677;NOTODDEN;30
KC552;3677;NOTODDEN;350
KC603;3679;NOTODDEN;100
KC583;3683;NOTODDEN;80
KC612;3679;NOTODDEN;140
KC588;3683;NOTODDEN;60
KC544;3676;NOTODDEN;20
KC548;3679;NOTODDEN;30
KC543;3681;NOTODDEN;30
KC574;3684;NOTODDEN;20
KC553;3676;NOTODDEN;10
KC554;3677;NOTODDEN;150
KC536;3681;NOTODDEN;80
KC601;3676;NOTODDEN;80
KC602;3674;NOTODDEN;
KC590;3679;NOTODDEN;20
KC542;3676;NOTODDEN;130
KC539;3679;NOTODDEN;10
KC561;3675;NOTODDEN;140
KC586;3675;NOTODDEN;50
KC592;3677;NOTODDEN;50
KC611;3676;NOTODDEN;60
KC593;3679;NOTODDEN;140
KC597;3679;NOTODDEN;30
KC504;3675;NOTODDEN;120
KC479;3679;NOTODDEN;90
KC594;3679;NOTODDEN;60
KC595;3681;NOTODDEN;70
KC596;3681;NOTODDEN;140
KC520;3675;NOTODDEN;70
KC460;3677;NOTODDEN;50
KC598;3676;NOTODDEN;40
KC610;3680;NOTODDEN;250
KC466;3681;NOTODDEN;100
KC456;3630;RØDBERG;1100
KC608;3678;NOTODDEN;20
KC458;3683;NOTODDEN;30
KC625;3676;NOTODDEN;30
KC469;3672;NOTODDEN;
KC470;3672;NOTODDEN;
KC366;3683;NOTODDEN;60
KC337;3675;NOTODDEN;130
KC547;3677;NOTODDEN;50
KC336;3679;NOTODDEN;20
KC384;3680;NOTODDEN;30
KC468;3683;NOTODDEN;10
KC467;3683;NOTODDEN;90
KC452;3681;NOTODDEN;130
KC461;3678;NOTODDEN;30
KC387;3677;NOTODDEN;1100
KC448;3675;NOTODDEN;30
KC451;3676;NOTODDEN;30
KC450;3678;NOTODDEN;10
KC455;3684;NOTODDEN;50
KC464;3681;NOTODDEN;50
KC447;3679;NOTODDEN;60
KC454;3684;NOTODDEN;40
KC478;3684;NOTODDEN;490
KC495;3676;NOTODDEN;70
KC498;3678;NOTODDEN;180
KC508;3681;NOTODDEN;70
KC485;3684;NOTODDEN;20
KC487;3684;NOTODDEN;10
KC486;3677;NOTODDEN;100
KC525;3684;NOTODDEN;60
KC484;3676;NOTODDEN;70
KC477;3674;NOTODDEN;100
KC497;3683;NOTODDEN;100
KC492;3681;NOTODDEN;170
KC493;3684;NOTODDEN;710
KC494;3677;NOTODDEN;40
KC476;3684;NOTODDEN;60
KC459;3675;NOTODDEN;80
KC496;3681;NOTODDEN;160
KC475;3676;NOTODDEN;130
KC499;3676;NOTODDEN;140
KC480;3676;NOTODDEN;60
KC490;3674;NOTODDEN;
KC507;3677;NOTODDEN;80
KC360;3676;NOTODDEN;20
KC473;3681;NOTODDEN;10
KC472;3674;NOTODDEN;40
KC503;3675;NOTODDEN;100
KC488;3681;NOTODDEN;190
KC505;3677;NOTODDEN;50
KC483;3678;NOTODDEN;70
KC510;3680;NOTODDEN;80
KC538;3681;NOTODDEN;60
KC514;3677;NOTODDEN;40
KC531;3675;NOTODDEN;150
KC389;3677;NOTODDEN;200
KC506;3677;NOTODDEN;410
KC532;3675;NOTODDEN;60
KC509;3683;NOTODDEN;20
KC526;3677;NOTODDEN;130
KC530;3676;NOTODDEN;30
KC796;3677;NOTODDEN;20
KC529;3684;NOTODDEN;120
KC528;3683;NOTODDEN;30
KC519;3679;NOTODDEN;70
KC727;3675;NOTODDEN;440
KC696;3677;NOTODDEN;180
KC523;3677;NOTODDEN;140
KC513;3676;NOTODDEN;90
KC689;3675;NOTODDEN;80
KC687;3681;NOTODDEN;290
KC527;3684;NOTODDEN;60
KC522;3683;NOTODDEN;260
KC518;3676;NOTODDEN;10
KC517;3683;NOTODDEN;60
KC515;3677;NOTODDEN;80
KC693;3684;NOTODDEN;160
KC686;3675;NOTODDEN;370
KC700;3684;NOTODDEN;50
KC680;3679;NOTODDEN;270
KC489;3678;NOTODDEN;130
KC701;3675;NOTODDEN;20
KC702;3677;NOTODDEN;30
KC698;3681;NOTODDEN;40
KC685;3679;NOTODDEN;80
KC684;3677;NOTODDEN;
KC690;3676;NOTODDEN;40
KC681;3677;NOTODDEN;60
KC356;3679;NOTODDEN;120
KC683;3677;NOTODDEN;70
KC502;3679;NOTODDEN;10
KC516;3681;NOTODDEN;50
KC703;3678;NOTODDEN;110
KC682;3675;NOTODDEN;30
KC697;3679;NOTODDEN;20
KC695;3678;NOTODDEN;320
KC694;3676;NOTODDEN;80
KC692;3677;NOTODDEN;110
KC679;3676;NOTODDEN;170
KC678;3675;NOTODDEN;90
KC717;3683;NOTODDEN;80
KC521;3684;NOTODDEN;380
KC677;3681;NOTODDEN;60
KC706;3679;NOTODDEN;150
KC713;3675;NOTODDEN;40
KC722;3681;NOTODDEN;90
KC719;3676;NOTODDEN;80
KC718;3677;NOTODDEN;100
KC715;3684;NOTODDEN;240
KC708;3679;NOTODDEN;60
KC716;3679;NOTODDEN;70
KC721;3675;NOTODDEN;830
P-647;3675;NOTODDEN;198
P-637;3675;NOTODDEN;342
P-602;3675;NOTODDEN;468
KC711;3684;NOTODDEN;100
KC712;3681;NOTODDEN;
KC709;3677;NOTODDEN;40
KC707;3679;NOTODDEN;130
KC710;3677;NOTODDEN;150
KC817;3676;NOTODDEN;70
KC813;3683;NOTODDEN;430
KC818;3684;NOTODDEN;80
KC814;3675;NOTODDEN;10
KC815;3681;NOTODDEN;180
KC800;3679;NOTODDEN;210
KC802;3681;NOTODDEN;100
KC805;3677;NOTODDEN;40
KC801;3675;NOTODDEN;280
KC808;3145;TJØME;50
KC816;3677;NOTODDEN;50
KC806;3675;NOTODDEN;150
KC804;3684;NOTODDEN;70
KC807;3677;NOTODDEN;130
KC250;3676;NOTODDEN;100
KC255;3684;NOTODDEN;20
KC256;3683;NOTODDEN;80
KC258;3677;NOTODDEN;110
KC731;3677;NOTODDEN;60
KC720;3676;NOTODDEN;
KC812;3679;NOTODDEN;180
KC705;3676;NOTODDEN;180
KC729;3679;NOTODDEN;150
P-612;3672;NOTODDEN;663
KC728;3681;NOTODDEN;10
KC732;3677;NOTODDEN;130
KC724;3679;NOTODDEN;130
KC272;3676;NOTODDEN;30
KC276;3675;NOTODDEN;30
KC249;3675;NOTODDEN;20
KC251;3679;NOTODDEN;320
KC252;3684;NOTODDEN;70
KC253;3675;NOTODDEN;440
KC254;3677;NOTODDEN;220
KC281;3675;NOTODDEN;740
