Country;Continent;Adolescent fertility rate (births per 1000 women ages 15-19);Agricultural land (sq. km);Aid per capita (current US$);Air transport passengers carried;Arable land (hectares);Birth rate crude (per 1000 people);Death rate crude (per 1000 people);Fertility rate total (births per woman);Forest area (sq. km);GDP (constant 2000 US$);Health expenditure per capita (current US$);Immunization DPT (% of children ages 12-23 months);Inflation consumer prices (annual %);Internet users (per 100 people);Land area (sq. km);Life expectancy at birth female (years);Life expectancy at birth male (years);Life expectancy at birth total (years);Military expenditure (% of GDP);Mortality rate adult female (per 1000 female adults);Mortality rate adult male (per 1000 male adults);Mortality rate infant (per 1000 live births);Personal computers (per 100 people);Population growth (annual %);Population total;Population female (% of total);Prevalence of HIV total (% of population ages 15-49);Ratio of female to male primary enrollment;Ratio of female to male secondary enrollment;Surface area (sq. km)
Portugal;Europe;15;36800;.;10139655;1262000;10;10;1;37830;1.17E+11;1800;93;2;27;91500;81;75;78;2;58;139;4;13;0;10549450;51;0;95;109;92120
PuertoRico;Latin America & Caribbean;52;2230;.;.;71000;13;8;2;4080;.;.;.;.;23;8870;82;74;78;.;55;142;.;1;0;3912054;51;.;.;.;8950
Qatar;Middle East & North Africa;18;710;.;6041040;18000;17;2;3;.;.;2186;97;9;28;11000;76;75;75;.;114;117;18;18;4;796186;33;0;99;100;11000
Romania;Europe;34;145130;.;1707714;9288000;10;12;1;63700;4.89E+10;250;97;9;22;229980;75;68;72;2;89;209;16;13;0;21634350;51;0;99;101;238390
RussianFederation;Asia;29;2156800;.;26522315;121781000;10;16;1;8087900;3.50E+11;277;98;13;15;16381390;72;59;65;4;173;467;15;12;0;143150000;53;1;100;99;17098240
Rwanda;Sub-Saharan Africa;42;19400;62;.;1200000;43;18;6;4800;2351067904;19;95;9;1;24670;47;43;45;3;435;487;100;0;2;9233793;52;3;104;89;26340
Samoa;Pacific;31;930;239;266625;30000;27;5;4;1710;286239968;113;64;2;3;2830;74;68;71;.;115;204;24;2;1;183845;48;.;100;113;2840
SanMarino;Europe;.;10;.;.;1000;.;.;.;.;934847232;3490;95;.;54;60;.;.;.;.;.;.;3;86;1;28200;.;.;.;.;60
SaoTomeandPrincipe;Sub-Saharan Africa;72;570;209;43282;9000;33;8;4;270;.;49;97;.;15;960;67;63;65;.;121;175;63;4;2;152622;50;.;97;107;960
SaudiArabia;Middle East & North Africa;30;.;1;15933045;3500000;26;4;4;27280;2.28E+11;448;96;1;13;2000000;.;70;.;8;95;146;21;14;3;23118994;45;0;97;92;2000000
Senegal;Sub-Saharan Africa;94;82480;57;449682;2550000;36;9;5;86730;5891089920;38;84;2;5;192530;65;61;62;1;109;178;61;2;3;11770340;50;1;96;75;196720
Serbia;Europe;25;.;153;918540;.;10;14;1;.;1.16E+10;212;98;16;.;88361;75;70;73;2;86;162;8;.;0;7440769;50;.;.;.;88361
Seychelles;Indian Ocean;.;60;181;498836;1000;18;8;2;400;562805184;557;99;1;25;460;77;67;72;2;.;.;12;19;0;82900;.;.;101;99;460
